City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Bathurst,-33.42,149.58,54.0,77,2,3.18,AU,1592348106
85,Mossamedes,-15.2,12.15,72.18,60,0,6.38,AO,1592348200
86,Hobart,-42.88,147.33,41.0,75,20,10.29,AU,1592348160
87,Laas,46.62,10.7,57.0,87,75,2.35,IT,1592348278
88,East London,-33.02,27.91,58.82,73,27,8.59,ZA,1592348352
89,Rāwah,34.48,41.91,81.72,25,0,10.27,IQ,1592348352
90,Ténenkou,14.46,-4.92,88.52,41,97,16.89,ML,1592348352
91,Bela,25.93,81.98,83.17,79,70,7.47,IN,1592348353
92,Airai,-8.93,125.41,59.76,96,94,5.32,TL,1592348242
93,Nikolskoye,59.7,30.79,64.4,93,86,4.47,RU,1592348353
94,Hirara,24.8,125.28,84.2,83,75,14.99,JP,1592348287
95,Gisborne,-38.65,178.0,63.0,55,7,5.99,NZ,1592348353
96,Youhao,47.87,128.83,53.85,89,98,7.4,CN,1592348353
97,Vardø,70.37,31.11,43.57,74,93,15.59,NO,1592348353
98,Bathsheba,13.22,-59.52,82.4,78,40,16.11,BB,1592348253
99,Constitución,-35.33,-72.42,54.99,92,100,10.25,CL,1592348354
100,Hofn,64.25,-15.21,49.82,69,0,3.56,IS,1592348354
101,Río Gallegos,-51.62,-69.22,30.2,92,20,11.41,AR,1592348218
102,Carnarvon,-24.87,113.63,60.8,38,0,9.17,AU,1592348354
103,Atuona,-9.8,-139.03,80.6,76,3,19.19,PF,1592348193
104,Kaeo,-35.1,173.78,62.01,3,38,8.5,NZ,1592348354
105,Yulara,-25.24,130.99,37.4,47,0,8.05,AU,1592348355
106,Chokurdakh,70.63,147.92,81.0,27,51,12.46,RU,1592348222
107,Nioro,13.35,-15.75,84.51,57,39,10.94,GM,1592348355
108,Saint Anthony,45.02,-93.22,90.0,38,20,17.22,US,1592348290
109,Pontal do Paraná,-25.65,-48.51,57.99,100,75,4.7,BR,1592348355
110,St. George's,12.06,-61.75,84.2,70,40,14.99,GD,1592348228
111,Santa Rosa,14.31,121.11,84.2,74,40,6.93,PH,1592348355
112,Cape Town,-33.93,18.42,48.99,93,0,5.82,ZA,1592348356
113,Lüderitz,-26.65,15.16,75.2,8,0,23.04,NA,1592348356
114,Barrow,71.29,-156.79,41.0,75,20,17.22,US,1592348356
115,Qaanaaq,77.48,-69.36,40.15,69,1,2.01,GL,1592348356
116,Tasiilaq,65.61,-37.64,37.4,94,100,18.34,GL,1592348223
117,Lata,40.16,-8.33,63.0,78,13,2.28,PT,1592348356
118,Mamlyutka,54.94,68.54,55.47,85,17,5.19,KZ,1592348357
119,Dikson,73.51,80.55,31.87,94,100,14.25,RU,1592348357
120,Viranşehir,37.24,39.76,77.85,32,0,6.6,TR,1592348106
121,Cayenne,4.93,-52.33,77.0,100,90,6.55,GF,1592348357
122,Mataura,-46.19,168.86,51.06,76,100,3.51,NZ,1592348357
123,Turbat,26.0,63.04,80.29,86,0,2.08,PK,1592348358
